Team 1,Team 2,Date,Outcome,1-ORtg,1-DRtg,1-3PAr,1-TS%,1-TRB%,1-AST%,1-STL%,1-BLK%,1-eFG%,1-TOV%,1-ORB%,1-FTr,1-oeFG%,1-oTOV%,1-oDRB%,1-oFTr,1-Pace,1-o3PAr,2-ORtg,2-DRtg,2-3PAr,2-TS%,2-TRB%,2-AST%,2-STL%,2-BLK%,2-eFG%,2-TOV%,2-ORB%,2-FTr,2-oeFG%,2-oTOV%,2-oDRB%,2-oFTr,2-Pace,2-o3PAr
Florida,Michigan,2019-03-23,0,103.0627990364228,95.40079133281166,0.4341898269533298,0.5318454188196744,0.4985521235521235,0.5110565110565111,0.1075683599131517,0.1126005361930295,0.4994756161510225,0.1678489359576381,0.2950191570881226,0.3036182485579444,0.4836474501108647,0.1666427870785712,0.7049808429118773,0.3364745011086474,4520.349999999999,0.3797117516629711,106.22100894422624,88.3651776401926,0.4020565552699229,0.5451397589812516,0.5025380710659898,0.5422374429223744,0.0927590262521358,0.1060044477390659,0.5208226221079691,0.1260625430010875,0.2168905950095969,0.2704370179948586,0.441408302679979,0.126045758160797,0.783109404990403,0.2490803993694167,4506.0,0.2911192853389385
Florida State,Vermont,2019-03-21,1,104.92384061627824,93.62339354031404,0.3830645161290322,0.5473946636005115,0.5448658649398704,0.4982935153583617,0.0972337610388011,0.125324114088159,0.5073084677419355,0.1849658595866075,0.3222222222222222,0.3634072580645161,0.4725013220518244,0.1842107962296275,0.6777777777777778,0.3611845584346906,4864.9,0.3881544156530936,109.42740171611236,93.05152272266864,0.3974918211559433,0.5672422815279958,0.5393483709273182,0.4637336504161712,0.0837328651495711,0.1211293260473588,0.5286259541984732,0.1565812349279344,0.272452068617558,0.3625954198473282,0.4865092748735244,0.1571116663290341,0.727547931382442,0.2619449128724002,4450.225,0.3827993254637437
Florida State,Murray State,2019-03-23,1,104.92384061627824,93.62339354031404,0.3830645161290322,0.5473946636005115,0.5448658649398704,0.4982935153583617,0.0972337610388011,0.125324114088159,0.5073084677419355,0.1849658595866075,0.3222222222222222,0.3634072580645161,0.4725013220518244,0.1842107962296275,0.6777777777777778,0.3611845584346906,4864.9,0.3881544156530936,114.94457552419534,93.24412786117674,0.3677248677248677,0.5899556733537449,0.5343659244917716,0.5980810234541578,0.1042949550089316,0.1169686985172981,0.5603174603174603,0.161599074032854,0.3137860082304526,0.3322751322751323,0.4598715890850722,0.1611024198648603,0.6862139917695473,0.2841091492776886,4499.525,0.3504547886570358
Florida State,Gonzaga,2019-03-28,0,104.92384061627824,93.62339354031404,0.3830645161290322,0.5473946636005115,0.5448658649398704,0.4982935153583617,0.0972337610388011,0.125324114088159,0.5073084677419355,0.1849658595866075,0.3222222222222222,0.3634072580645161,0.4725013220518244,0.1842107962296275,0.6777777777777778,0.3611845584346906,4864.9,0.3881544156530936,122.52146841896324,89.35501659539491,0.3525287931897847,0.6270182416971407,0.5577372604020571,0.5659133709981168,0.1036301776071417,0.1365007541478129,0.5961442163244868,0.1408244708635423,0.2971548998946259,0.3595393089634451,0.4420611439842209,0.1402544974040432,0.702845100105374,0.2509861932938856,4795.825,0.3461538461538461
Gardner-Webb,Virginia,2019-03-22,0,109.76980093399172,98.32434317123696,0.3640167364016736,0.5883978205850823,0.4983591186122831,0.5273311897106109,0.0955760198535595,0.0884718498659517,0.5591004184100419,0.1604074100801006,0.2299084435401831,0.3854602510460251,0.4858329262335124,0.1595668314293332,0.7700915564598169,0.2765021983390327,4862.925,0.4533463605276013,115.23809523809524,88.8631119740774,0.3865889212827988,0.585881753312946,0.5437763713080169,0.5658536585365853,0.090779569553541,0.1232323232323232,0.5571428571428572,0.1388471177944862,0.2807825086306099,0.3032069970845481,0.4352238805970149,0.1396996709240603,0.7192174913693901,0.2788059701492537,3977.825,0.408955223880597
Georgia State,Houston,2019-03-22,0,107.31882299568488,99.76995295434293,0.4381551362683438,0.5702880593835148,0.4598337950138504,0.4632768361581921,0.1090132846987627,0.1440366972477064,0.5487421383647799,0.1582562273825475,0.2233840304182509,0.3548218029350105,0.4967287367891293,0.1554371930115438,0.776615969581749,0.3110216406643181,4782.125,0.4514343231001509,110.091743119266,88.56465283464317,0.429064039408867,0.5499876996138748,0.5580159433126661,0.5598669623059866,0.0931587846819733,0.1380866425992779,0.5214285714285715,0.1575797801162578,0.3372835004557885,0.3187192118226601,0.4236702127659574,0.1565407888719917,0.6627164995442115,0.376063829787234,4686.150000000001,0.4106382978723404
Gonzaga,Texas Tech,2019-03-30,0,122.52146841896324,89.35501659539491,0.3525287931897847,0.6270182416971407,0.5577372604020571,0.5659133709981168,0.1036301776071417,0.1365007541478129,0.5961442163244868,0.1408244708635423,0.2971548998946259,0.3595393089634451,0.4420611439842209,0.1402544974040432,0.702845100105374,0.2509861932938856,4795.825,0.3461538461538461,107.459943720209,85.73914419046112,0.3554929577464789,0.5683737318510419,0.5240286298568507,0.5364396654719236,0.1066654614072157,0.153170731707317,0.5369014084507042,0.1722850743697237,0.2791712104689204,0.3352112676056338,0.4281930547380812,0.1694896102868894,0.7208287895310797,0.3761035903472631,4389.150000000001,0.3967039434961742
Houston,Ohio State,2019-03-24,1,110.091743119266,88.56465283464317,0.429064039408867,0.5499876996138748,0.5580159433126661,0.5598669623059866,0.0931587846819733,0.1380866425992779,0.5214285714285715,0.1575797801162578,0.3372835004557885,0.3187192118226601,0.4236702127659574,0.1565407888719917,0.6627164995442115,0.376063829787234,4686.150000000001,0.4106382978723404,101.56906077348069,97.8263302813906,0.3974780701754385,0.5423648808118952,0.5101744186046512,0.589711417816813,0.0873049629513554,0.0728709394205443,0.5052083333333334,0.1790055248618784,0.2563850687622789,0.3399122807017544,0.4821428571428571,0.1813256922835844,0.743614931237721,0.3175824175824175,4496.05,0.3741758241758242
Houston,Kentucky,2019-03-29,0,110.091743119266,88.56465283464317,0.429064039408867,0.5499876996138748,0.5580159433126661,0.5598669623059866,0.0931587846819733,0.1380866425992779,0.5214285714285715,0.1575797801162578,0.3372835004557885,0.3187192118226601,0.4236702127659574,0.1565407888719917,0.6627164995442115,0.376063829787234,4686.150000000001,0.4106382978723404,111.32116948779952,94.62761469598853,0.2980926430517711,0.5740194967127635,0.5686274509803921,0.520501138952164,0.0872204507850936,0.1420068027210884,0.5326975476839237,0.1785007693998681,0.3470648815653965,0.4250681198910082,0.470372312532774,0.1779472513504925,0.6529351184346035,0.2711064499213424,4556.075,0.383324593602517
Iona,North Carolina,2019-03-22,0,106.08740670434445,104.06476096281408,0.4364820846905538,0.5674004337994369,0.481086323957323,0.5041916167664671,0.0933142691278126,0.0801080108010801,0.5298588490770901,0.1665300487510246,0.2338308457711442,0.3713355048859935,0.5233812949640287,0.1659875939324224,0.7661691542288557,0.2882836587872559,4643.375,0.4290853031860226,109.8869209413904,94.70505493640754,0.3584050747621205,0.5611594661081418,0.5651063829787234,0.613880742913001,0.0932492647275803,0.0984020185029436,0.5289986406887177,0.1644434556341229,0.3283185840707964,0.3085636610783869,0.4830672472181906,0.1672191456085301,0.6716814159292035,0.2888243831640058,5126.050000000001,0.424770198355104
