Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
49,Air Force,21,2021-02-22,,New Mexico,L,65.0,73.0,23.0,54.0,0.426,6.0,24.0,0.25,13.0,19.0,0.684,6.0,19.0,14.0,12.0,2.0,11.0,16.0,30.0,51.0,0.588,2.0,9.0,0.222,11.0,16.0,0.688,9.0,35.0,22.0,7.0,2.0,16.0,12.0
50,Air Force,22,2021-02-24,,New Mexico,W,62.0,55.0,22.0,52.0,0.423,4.0,13.0,0.308,14.0,20.0,0.7,4.0,28.0,14.0,10.0,5.0,12.0,16.0,20.0,50.0,0.4,5.0,20.0,0.25,10.0,18.0,0.556,9.0,35.0,10.0,4.0,3.0,21.0,20.0
51,Air Force,23,2021-02-27,@,Colorado State,L,49.0,72.0,17.0,41.0,0.415,5.0,21.0,0.238,10.0,16.0,0.625,4.0,15.0,11.0,7.0,3.0,16.0,21.0,25.0,41.0,0.61,9.0,22.0,0.409,13.0,16.0,0.813,5.0,26.0,14.0,4.0,1.0,19.0,18.0
52,Air Force,24,2021-03-01,@,Colorado State,L,44.0,74.0,15.0,45.0,0.333,5.0,20.0,0.25,9.0,13.0,0.692,5.0,24.0,7.0,5.0,2.0,14.0,21.0,23.0,55.0,0.418,5.0,28.0,0.179,23.0,28.0,0.821,15.0,41.0,14.0,4.0,3.0,11.0,16.0
53,Air Force,25,2021-03-10,N,Nevada-Las Vegas,L,52.0,80.0,22.0,51.0,0.431,2.0,18.0,0.111,6.0,10.0,0.6,0.0,13.0,14.0,9.0,7.0,13.0,13.0,31.0,54.0,0.574,9.0,17.0,0.529,9.0,11.0,0.818,7.0,37.0,20.0,6.0,3.0,17.0,13.0
54,Akron,1,2020-12-12,,NON-FBS-SCHOOL,W,97.0,49.0,35.0,66.0,0.53,16.0,40.0,0.4,11.0,15.0,0.733,13.0,43.0,23.0,8.0,0.0,10.0,8.0,22.0,57.0,0.386,4.0,19.0,0.211,1.0,4.0,0.25,4.0,20.0,7.0,7.0,0.0,11.0,14.0
55,Akron,2,2020-12-15,N,St. Bonaventure,L,74.0,81.0,24.0,60.0,0.4,6.0,32.0,0.188,20.0,21.0,0.952,8.0,33.0,10.0,7.0,1.0,17.0,24.0,30.0,65.0,0.462,1.0,14.0,0.071,20.0,28.0,0.714,9.0,29.0,15.0,8.0,2.0,10.0,17.0
56,Akron,3,2020-12-19,,NON-FBS-SCHOOL,W,93.0,83.0,35.0,74.0,0.473,4.0,22.0,0.182,19.0,23.0,0.826,15.0,40.0,13.0,6.0,5.0,7.0,18.0,33.0,71.0,0.465,8.0,27.0,0.296,9.0,14.0,0.643,9.0,32.0,11.0,2.0,0.0,17.0,23.0
57,Akron,4,2020-12-22,,Ohio,W,90.0,70.0,35.0,55.0,0.636,14.0,25.0,0.56,6.0,9.0,0.667,6.0,34.0,18.0,2.0,3.0,14.0,19.0,26.0,62.0,0.419,8.0,27.0,0.296,10.0,16.0,0.625,10.0,22.0,14.0,6.0,2.0,5.0,13.0
58,Akron,5,2021-01-01,,Kent State,W,66.0,62.0,19.0,59.0,0.322,11.0,34.0,0.324,17.0,22.0,0.773,8.0,36.0,13.0,4.0,3.0,12.0,19.0,24.0,63.0,0.381,5.0,23.0,0.217,9.0,17.0,0.529,12.0,39.0,9.0,7.0,4.0,13.0,18.0
