Team,Gtm,Date,Site,Opponent,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Abilene Christian,24,2017-02-11,,Northwestern State,REG (Conf),W,76,72,,26,60,.433,9,18,.500,17,42,.405,.508,15,26,.577,13,22,35,18,10,4,18,19,26,51,.510,7,13,.538,19,38,.500,.578,13,20,.650,5,23,28,15,9,4,19,18
Abilene Christian,25,2017-02-16,@,McNeese State,REG (Conf),W,82,78,,27,53,.509,8,21,.381,19,32,.594,.585,20,26,.769,8,27,35,16,7,3,12,16,27,60,.450,10,23,.435,17,37,.459,.533,14,18,.778,7,19,26,8,5,1,9,17
Abilene Christian,26,2017-02-22,,Texas A&M–Corpus Christi,REG (Conf),L,44,56,,17,51,.333,5,19,.263,12,32,.375,.382,5,7,.714,5,23,28,13,6,3,18,21,18,48,.375,4,14,.286,14,34,.412,.417,16,21,.762,9,24,33,8,12,5,14,12
Abilene Christian,27,2017-02-25,@,Sam Houston State,REG (Conf),W,84,81,,25,51,.490,11,21,.524,14,30,.467,.598,23,29,.793,5,20,25,18,7,2,14,25,23,53,.434,9,18,.500,14,35,.400,.519,26,36,.722,11,26,37,19,7,0,12,24
Abilene Christian,28,2017-03-01,,Incarnate Word,REG (Conf),L,75,89,,32,63,.508,6,18,.333,26,45,.578,.556,5,11,.455,9,19,28,16,7,0,12,24,31,50,.620,9,19,.474,22,31,.710,.710,18,26,.692,2,23,25,12,7,2,12,16
Abilene Christian,29,2017-03-04,@,Houston Baptist,REG (Conf),L,72,81,,30,59,.508,8,24,.333,22,35,.629,.576,4,4,1.000,6,22,28,14,5,2,10,19,30,57,.526,12,20,.600,18,37,.486,.632,9,15,.600,10,19,29,18,4,2,9,8
Air Force,1,2016-11-11,,McPherson,REG (Non-Conf),W,88,71,,28,50,.560,8,22,.364,20,28,.714,.640,24,34,.706,4,26,30,20,4,1,6,17,27,63,.429,12,34,.353,15,29,.517,.524,5,9,.556,11,18,29,13,2,0,10,27
Air Force,2,2016-11-14,,Jacksonville,REG (Non-Conf),W,86,68,,26,53,.491,10,17,.588,16,36,.444,.585,24,30,.800,9,23,32,18,4,1,10,19,23,48,.479,7,22,.318,16,26,.615,.552,15,22,.682,3,18,21,10,6,2,13,27
Air Force,3,2016-11-15,,Johnson & Wales (CO),REG (Non-Conf),W,105,62,,38,71,.535,10,28,.357,28,43,.651,.606,19,25,.760,11,28,39,25,10,0,3,22,20,52,.385,5,18,.278,15,34,.441,.433,17,27,.630,9,25,34,10,2,5,18,21
Air Force,4,2016-11-20,,Florida A&M,REG (Non-Conf),W,87,62,,25,50,.500,10,21,.476,15,29,.517,.600,27,34,.794,9,34,43,19,1,2,17,20,24,68,.353,5,21,.238,19,47,.404,.390,9,15,.600,9,16,25,9,9,3,7,29
Air Force,5,2016-11-22,,Stetson,REG (Non-Conf),W,85,72,,31,70,.443,8,21,.381,23,49,.469,.500,15,26,.577,14,36,50,17,2,2,7,18,26,62,.419,12,29,.414,14,33,.424,.516,8,18,.444,4,31,35,13,2,4,12,25
Air Force,6,2016-11-25,N,Akron,REG (Non-Conf),L,75,84,,25,54,.463,5,15,.333,20,39,.513,.509,20,24,.833,9,21,30,8,6,2,12,21,26,58,.448,12,37,.324,14,21,.667,.552,20,29,.690,13,20,33,12,5,3,11,25
Air Force,7,2016-11-26,N,East Carolina,REG (Non-Conf),L,63,70,,21,62,.339,11,29,.379,10,33,.303,.427,10,12,.833,7,20,27,10,11,2,11,14,25,57,.439,7,20,.350,18,37,.486,.500,13,19,.684,9,31,40,9,5,6,16,14
Air Force,8,2016-11-30,@,New Mexico State,REG (Non-Conf),L,70,78,,25,51,.490,11,21,.524,14,30,.467,.598,9,14,.643,6,18,24,15,3,0,13,15,30,58,.517,9,26,.346,21,32,.656,.595,9,12,.750,10,20,30,17,4,4,9,19
Air Force,9,2016-12-03,,Missouri State,REG (Non-Conf),W,83,70,,27,48,.563,11,18,.611,16,30,.533,.677,18,22,.818,3,30,33,21,2,3,10,11,29,64,.453,8,34,.235,21,30,.700,.516,4,5,.800,3,19,22,12,5,2,5,19
Air Force,10,2016-12-07,@,Army,REG (Non-Conf),L,71,79,,25,64,.391,9,22,.409,16,42,.381,.461,12,17,.706,6,23,29,10,7,4,15,19,25,50,.500,12,27,.444,13,23,.565,.620,17,22,.773,3,34,37,14,7,5,20,22
Air Force,11,2016-12-10,,Denver,REG (Non-Conf),L,65,77,,21,52,.404,7,22,.318,14,30,.467,.471,16,25,.640,7,21,28,12,7,3,11,17,29,51,.569,7,14,.500,22,37,.595,.637,12,18,.667,4,28,32,16,5,1,11,20
Air Force,12,2016-12-19,,Colorado,REG (Non-Conf),L,68,75,,22,61,.361,8,26,.308,14,35,.400,.426,16,20,.800,13,23,36,14,7,2,10,22,27,50,.540,10,24,.417,17,26,.654,.640,11,22,.500,6,24,30,18,3,7,15,22
Air Force,13,2016-12-22,,UC Davis,REG (Non-Conf),W,77,67,,24,49,.490,10,21,.476,14,28,.500,.592,19,27,.704,7,30,37,17,3,2,17,19,25,64,.391,4,23,.174,21,41,.512,.422,13,16,.813,10,23,33,10,7,1,11,26
Air Force,14,2016-12-28,@,Wyoming,REG (Conf),L,72,84,,26,73,.356,7,22,.318,19,51,.373,.404,13,17,.765,12,29,41,13,9,1,13,22,28,64,.438,14,35,.400,14,29,.483,.547,14,18,.778,8,32,40,21,7,6,16,19
Air Force,15,2016-12-31,,Utah State,REG (Conf),W,78,73,,30,61,.492,10,21,.476,20,40,.500,.574,8,12,.667,6,19,25,16,6,2,7,11,25,54,.463,13,33,.394,12,21,.571,.583,10,11,.909,6,24,30,18,4,3,12,17
Air Force,16,2017-01-07,@,Colorado State,REG (Conf),L,58,85,,20,48,.417,5,19,.263,15,29,.517,.469,13,18,.722,6,19,25,13,10,1,18,17,30,60,.500,14,32,.438,16,28,.571,.617,11,14,.786,8,20,28,19,11,0,12,20
